,0
0,https://chefsimon.com/gourmets/chef-simon/recettes/croissants-et-pains-au-chocolat-decoupe-et-cuisson
1,https://www.marmiton.org/recettes/recette_croissants-au-beurre-maison_41321.aspx
2,https://cuisine.journaldesfemmes.fr/recette/305677-croissants-au-beurre
3,https://www.meilleurduchef.com/en/recipe/pain-au-chocolat-chocolate-croissant.html
4,https://www.iletaitunefoislapatisserie.com/2014/02/les-croissants-maison.html
5,https://lacuisinedannie.20minutes.fr/recette-croissants-facon-boulangerie-355.html
6,http://www.lamourdupain.com/blogue/croissants-congeles
7,https://zeste.ca/recettes/croissants-au-beurre-1
8,http://www.mylittlerecettes.com/cap-patissier-croissants-pate-levee-feuilletee/
9,https://fr.wikibooks.org/wiki/Livre_de_cuisine/Croissant
10,https://www.aufeminin.com/recettes/les-croissants-s641549.html
11,https://www.ricardocuisine.com/recettes/8475-croissants-au-beurre
12,https://www.ricardocuisine.com/en/recipes/8475-butter-croissants
13,https://www.youtube.com/watch?v=9MbjMNXUgV8
14,https://www.delifrance.com/fr/nos-conseils/Remise_en_oeuvre_viennoiserie
15,https://cuisine-facile.com/four/recette-croissants.php
16,https://conseils-cap-patisserie.fr/croissants-rates/
17,https://www.encoreungateau.com/croissants-cap-patissier-recette/
18,http://patisphere.canalblog.com/archives/2017/02/20/34960973.html
19,http://www.lyceeprofessionnel-morlaas.fr/ADI/files/VIENNOISERIE.pdf
20,https://www.750g.com/croissants-maison-r96776.htm
21,https://www.recettesdici.com/fr/categorie-de-plat/6/brunchs-et-dejeuners/857/croissants-au-beurre
22,http://bourassatremblant.com/viennoiseries-surgelees/
23,https://www.brunoskitchen.net/blog/post/chocolate-croissant--chocolatine
24,http://technomitron.aainb.com/recettes-2/viennoiserie/la-viennoiserie/
25,https://www.patisserie-gourmande.fr/astuces/conseils-brioches-viennoiseries
26,https://mapatisserie.fr/recette/viennoiseries/recette-croissant/
27,https://scally.typepad.com/cest_moi_qui_lai_fait/2013/05/
28,https://www.savencia-fd-foodservice.com/livrets/preuve-par-7-boulangerie-patisserie/pdf/recettes-base-corman-patisy.pdf
29,https://arhoma.ca/general/comment-cuire-nos-viennoiseries-congelees
30,https://www.chefnini.com/croissants-test-2/
31,https://www.transgourmet.fr/livraison/transgourmet/nos-partenaires/eclat-du-terroir/croissant-beurre-fin-pret-cuire
32,https://urbainecity.com/jai-teste-pour-vous-la-pate-a-croissants-premiere-moisson/
33,https://www.picard.fr/produits/8-croissants-pur-beurre-beurre-charentes-000000000000082205.html
34,https://www.lesoir.be/64877/article/2016-10-20/succes-croissant-pour-la-cuisson-sous-vide-en-basse-temperature
35,https://www.enviedebienmanger.fr/fiche-recette/recette-croissants-au-beurre
36,http://mobile.cuistot.net/viennoiseries.htm
37,https://montreal.lufa.com/en/marketplace/product/ready-to-bake-butter-croissants-6-frozen-3387
38,https://www.bettybossi.ch/fr/Rezept/ShowRezept/BB_BKXX060101_0360A-40-fr
39,https://www.liberation.fr/checknews/2020/04/02/covid-19-faut-il-passer-son-pain-au-four-pour-eviter-tout-risque-de-contamination_1783836
40,http://www.ciciyapatisserieandco.com/2018/04/recette-viennoiseries-n-2-feuilletage-topissime.html
41,http://media3.neff-international.com/Documents/9001126108_C.pdf
42,https://www.cuisineaz.com/recettes/mini-croissants-au-jambon-23576.aspx
43,https://rockthebretzel.com/croissants-cap-patisserie/
44,https://planetezerodechet.fr/recette-croissants-beurre-maison-etapes/
45,https://whitepapers-lesaffre.com/wp-content/uploads/2018/04/1712M01-LEXIQUE-CROISSANT-FR.pdf
46,https://atelier.aupaindore.com/en/our-products/
47,https://www.rational-online.com/portalcontent/club/fs4c/media/files/scc_since_09_2016/brochures/application_bake/8021769_FR_Anwendung_Backen_Prospekt_A4_WA44_46.pdf
48,https://www.cuisinedaubery.com/recipe/recette-des-croissants-au-beurre/
49,http://lafolleaventuredemelanie.over-blog.com/2013/12/le-croissant-et-le-pain-au-chocolat-cap-p%C3%A2tissier.html
50,https://www.quelquesgrammesdegourmandise.com/croissants-de-philippe-conticini/
51,"https://www.marieclaire.fr/cuisine/comment-reussir-un-croissant,1221124.asp"
52,https://www.elle-et-vire.com/pro/en/recettes/boulangerie-patisserie/croissant-1/
53,https://painsuisse.ch/recette/croissants/
54,https://www.mercotte.fr/2019/05/15/les-pates-levees-feuilletees-le-secret-de-la-reussite-et-toujours-un-peu-dactu/
55,https://www.ptitchef.com/recettes/aperitif/mini-croissants-aperitif-fid-178280
56,https://www.lexpress.fr/styles/saveurs/recette/recette-de-la-chocolatine-de-la-patisserie-cyril-lignac_1951730.html
57,https://www.patisserie-traditionnelle.com/bases-cap-patisserie/plf/
58,https://www.boulangerie.org/wp-content/uploads/2018/09/DEF_16_06_14-Code-des-usages-viennoiserie-artisanale.pdf
59,https://www.femmeactuelle.fr/cuisine/guides-cuisine/croissant-pain-au-chocolat-brioche-comment-redonner-de-la-fraicheur-a-la-viennoiserie-2089322
60,https://www.facebook.com/CostcoCanada/posts/quelquun-a-le-temps-de-cuisson-et-la-temp%C3%A9rature-du-four-pour-faire-les-croissan/464890816922722/
61,"https://www.thiriet.com/produits/pains_viennoiseries/8_croissants_pur_beurre,163,1139.html?&args=Y29tcF9pZD0xNTUmYWN0aW9uPWZpY2hlJmlkPSZ8&vars=cHJvZHVpdF9pZD04OTUyMA%3D%3D"
