,0,1,2
0,https://www.waitrose.com/content/waitrose/en/home/recipes/food_glossary/croissant.html,"To heat: Place the croissants on a baking tray and heat in a preheated oven (180°C, gas mark 4) for 5 minutes.",180
1,https://www.waitrose.com/content/waitrose/en/home/recipes/food_glossary/croissant.html,"To heat: Place the croissants on a baking tray and heat in a preheated oven (180°C, gas mark 4) for 5 minutes.",180
2,https://www.weekendbakery.com/posts/classic-french-croissant-recipe/,Preheat the oven at 200ºC / 390ºF convection or 220ºC / 430ºF conventional oven.,200
3,https://www.bbcgoodfood.com/recipes/croissants,Heat oven to 200C/180C fan/gas 6.,200
4,https://gourmetier.com/french-croissants/,"Baking
Preheat the oven to 190 °C (convection) for 20 minutes.",190
6,http://www.patisserielamour.co.nz/ba-croissants.html,"Bake in the oven at 230°C, for an average of 17 minutes and adding steam.",230
7,https://www.waitrose.com/content/waitrose/en/home/recipes/food_glossary/croissant.html,"To heat: Place the croissants on a baking tray and heat in a preheated oven (180°C, gas mark 4) for 5 minutes.",180
10,https://www.lantmannen-unibake.com/Products/pastry/croissants-plain/smorcroissant/,Bake for 17-18 min at 180°C.,180
11,https://www.researchgate.net/publication/303690154_Effects_of_freezing_rate_and_terminal_freezing_temperature_on_frozen_croissant_dough_quality,"The bread was partially baked for 7 min at 250°C, in a turbo oven.",250
12,https://honestcooking.com/perfecting-homemade-croissant/,"Bake in the preheated oven at 190C (fan oven on) for 6 minutes, then lower the temperature to 170C for another 10 minutes.",190
13,https://www.bakedbyanintrovert.com/homemade-croissants/,"Let's break down the process! Or you can scroll right to the bottom for the full, printable recipe!Croissant Recipe Ingredients:To make these homemade croissants, you will need:Water: The water should be barely warm, about 100°F.",100
14,https://veenaazmanov.com/homemade-croissants-recipe/,Preheat the oven at 200 C/ 392 F.,200
15,https://www.elle-et-vire.com/pro/en/recipes/pastry-bakery/croissant-1/,"Roll
up the croissants, let rise for 2 hours at 24-25°C, Brush on egg
wash and bake for about 20 mn in a convection oven at 170°C.",170
