,0,1,2
0,https://www.allrecipes.com/recipe/17486/brioche/,"In a small bowl, dissolve yeast in warm water. Let stand until creamy, about 10 minutes.
In a large bowl, stir together the flour sugar and salt. Make a well in center of the bowl and mix in the eggs and yeast mixture. Beat well until the dough has pulled together, then turn it out onto a lightly floured surface and knead until smooth and supple, about 8 minutes.
Flatten the dough and spread it with one third of the butter. Knead this well. Repeat this twice to incorporate the remaining butter. Allow the dough to rest for a few minutes between additions of butter. This process may take 20 minutes or so. Lightly oil a large bowl, place the dough in the bowl and turn to coat with oil. Cover with plastic wrap and let rise in a warm place until doubled in volume, about 1 hour.
Deflate the dough, cover with plastic wrap, and refrigerate 6 hours or overnight. It needs time to chill in order to become more workable.
Turn the dough out onto a lightly floured surface. Divide the dough into two equal pieces, form into loaves and place into prepared pans. Cover with greased plastic wrap and let rise until doubled in volume, about 60 minutes.
Preheat oven to 400 degrees F (200 degrees C). Lightly grease two 9x5-inch loaf pans (see Cook's Note to make rolls). Beat the egg yolk with 1 teaspoon of water to make a glaze.
Brush the loaves or rolls with the egg wash. Bake in preheated oven until a deep golden brown. Start checking the loaves for doneness after 25 minutes, and rolls at 10 minutes. Let the loaves cool in the pans for 10 minutes before moving them to wire racks to cool completely.
",brioche
1,https://www.bonappetit.com/recipe/brioche-dough,"Combine 1/4 cup warm water and warm milk in bowl of heavy-duty mixer. Sprinkle yeast over and stir to moisten evenly. Let stand until yeast dissolves, stirring occasionally, about 8 minutes.Fit mixer with paddle attachment. Add flour and salt to yeast mixture. Blend at medium-low speed until shaggy crumbly lumps form, scraping down sides of bowl occasionally, 1 to 2 minutes. Add eggs 1 at a time and beat until blended after each addition, scraping down sides of bowl occasionally. Beat in sugar. Increase speed to medium and beat until dough comes together and is smooth, about 3 minutes. tReduce speed to low. Add butter, 1 tablespoon at a time, beating until each is blended in before adding next, about 4 minutes (dough will be soft and silky). Increase to medium-high and beat until dough pulls away from sides of bowl and climbs paddle, 8 to 9 minutes. tLightly butter large bowl. Scrape dough into prepared bowl. Cover bowl with plastic wrap. Let dough rise at room temperature until almost doubled in volume, about 1 hour 15 minutes to 1 hour 30 minutes. tGently deflate dough by lifting around edges then letting dough fall back into bowl, turning bowl and repeating as needed. Cover bowl tightly with plastic wrap and chill, deflating dough in same way every 30 minutes until dough stops rising, about 2 hours. Chill overnight. (At this point, use the dough to make 12 brioches or 2 tarts or 1 tart and 6 brioches.) t",brioche
2,https://www.delish.com/cooking/recipe-ideas/a28848483/brioche-bread-recipe/,"Make the sponge: To the bowl of a stand mixer fitted with the hook attachment, add 1 cup flour, yeast, and milk. Using a spatula, mix until well combined, then cover with plastic wrap and let sit for 45 minutes.&nbsp; Once the sponge has formed some air pockets, add in eggs, remaining 3 cups flour, sugar, and salt. Mix on medium speed until well combined, then gradually increase to medium-high speed and continue mixing until dough pulls away from the sides of the bowl and becomes shiny and elastic, scraping down bowl every 4 to 5&nbsp;minutes,&nbsp;10 to 13 minutes. With the mixer running, add in butter gradually, 1 tablespoon at a time, letting each tablespoon fully incorporate into the dough before adding the next, 13 to 15 minutes. Continue mixing on medium-high speed for 5 to 7 minutes until the dough passes the windowpane test. Cover bowl with plastic wrap and let rest about 1 hour or doubled in size. To bake next day: Once dough has doubled in size, punch down to deflate dough completely, then re-cover with plastic wrap. Refrigerate overnight until you are ready to bake the next day. Follow instructions in the next step,&nbsp;letting dough proof until doubled before baking, longer if needed,&nbsp;up to 2 hours 30 minutes. To bake same day: Once dough has doubled in size, turn out onto a floured surface and punch down dough. Divide in half using a bench scraper. Cut each half into six equal&nbsp;pieces. Flatten each piece into a rectangle, then fold short ends in towards each other as if folding a letter. Flatten again and tightly roll into a log starting with the short end. Repeat with all pieces.&nbsp; Grease 8”-x-5” loaf pans with butter. Place 6 pieces of dough seam-side down in one straight row into each prepared pan. Cover with plastic wrap. Preheat oven to 375°. Let dough proof until puffy and doubled in size, 1 hour to 1 hour 30 minutes. In a small bowl, whisk together remaining egg and water. Brush egg wash on top of loaf and sprinkle lightly with salt.&nbsp; Bake until deeply golden on top and the center of the loaf registers between 190° and 205°, about 30 minutes. Let cool 5 minutes then turn loaves out onto a cooling rack. Let cool completely.",brioche
3,https://www.allrecipes.com/recipe/17486/brioche/,"In a small bowl, dissolve yeast in warm water. Let stand until creamy, about 10 minutes.
In a large bowl, stir together the flour sugar and salt. Make a well in center of the bowl and mix in the eggs and yeast mixture. Beat well until the dough has pulled together, then turn it out onto a lightly floured surface and knead until smooth and supple, about 8 minutes.
Flatten the dough and spread it with one third of the butter. Knead this well. Repeat this twice to incorporate the remaining butter. Allow the dough to rest for a few minutes between additions of butter. This process may take 20 minutes or so. Lightly oil a large bowl, place the dough in the bowl and turn to coat with oil. Cover with plastic wrap and let rise in a warm place until doubled in volume, about 1 hour.
Deflate the dough, cover with plastic wrap, and refrigerate 6 hours or overnight. It needs time to chill in order to become more workable.
Turn the dough out onto a lightly floured surface. Divide the dough into two equal pieces, form into loaves and place into prepared pans. Cover with greased plastic wrap and let rise until doubled in volume, about 60 minutes.
Preheat oven to 400 degrees F (200 degrees C). Lightly grease two 9x5-inch loaf pans (see Cook's Note to make rolls). Beat the egg yolk with 1 teaspoon of water to make a glaze.
Brush the loaves or rolls with the egg wash. Bake in preheated oven until a deep golden brown. Start checking the loaves for doneness after 25 minutes, and rolls at 10 minutes. Let the loaves cool in the pans for 10 minutes before moving them to wire racks to cool completely.
",brioche
4,https://www.finecooking.com/recipe/authentic-brioche,"In a stand mixer fitted with the paddle attachment, mix the flour, sugar, yeast, and salt on low speed until well combined. Add 4 of the eggs and the milk and continue mixing on low speed to combine. As soon as the dough starts to clump together, remove the paddle attachment and attach the dough hook. (There will still be unmixed egg and flour in the bowl.) Mix on medium speed for 2 minutes. Using a plastic dough scraper or strong plastic spatula, scrape the bowl and hook. Continue to mix until the dough is firm and elastic, about 2 minutes more. The dough may stick to the hook at this point, but that’s OK. Scrape the dough off the hook again.With the mixer on medium-low speed, add half of the butter, a few pieces at a time. Scrape down the bowl and dough hook, and remove the dough hook. Give the dough a few kneads by hand in the bowl, repeatedly folding the dough over on itself, to help incorporate the butter. Reattach the dough hook and add the remaining butter, a few pieces at a time, mixing on medium-low speed. Once all of the butter has been added, increase the mixer speed to medium and mix for 4 minutes. Scrape the dough hook and the sides and bottom of the bowl. Mix again until the dough is smooth, soft, and shiny, about 4 minutes more. You’ll hear the dough slap against the sides of the bowl when it’s ready. (If your kitchen is warm, the dough may seem too loose at this point. Resist the urge to add extra flour, or the brioche may be tough.)Use a plastic dough scraper or a spatula to turn the dough out onto a clean, very lightly floured work surface. The dough will be very moist. Knead it by hand a few times and then form it into a ball by folding the sides into the middle at 12, 3, 6, and 9 o’clock. Flip the dough over, place your palms on either side of the dough, and tuck it under itself, turning the dough as you tuck to form a loose ball with a smooth top. Transfer the dough, smooth side up, to a clean large bowl. Cover loosely with plastic and let the dough rise in a warm, draft-free spot until doubled in size, about 1 hour.Use the dough scraper or spatula to turn the dough out, smooth top down, onto a very lightly floured work surface. Again, form it into a ball by folding the sides into the middle at 12, 3, 6, and 9 o’clock. Flip the dough over, place your palms on either side of the dough, and tuck it under itself, turning the dough as you tuck to form a loose ball with a smooth top. Transfer the dough, smooth side up, back to the bowl. Cover tightly with plastic. At this point, for best flavor refrigerate the dough overnight. Or let it sit out until doubled in size, about 1 hour. The warmer the room, the faster the brioche will rise, so keep an eye on it.If the dough was refrigerated, let it warm to room temperature, about 2 hours.Butter sixteen 3-inch brioche à tête molds (use molds that are 3 to 3-1/4 inches wide across the top and at least 1-1/4 inches high).Turn the dough out, smooth top down, onto a clean work surface. Form the dough into a ball by folding the sides into the middle at 12, 3, 6, and 9 o’clock. Using a scale and a bench knife, divide the dough into 2 equal pieces, about 1 lb. 3 oz. each. Divide each half into 8 equal pieces of about 2-1/2 oz. each, for a total of 16 pieces of dough. Cover the dough with plastic to prevent it from drying out.Roll each piece of dough into a tight ball by cupping your hand over the dough and moving it in a circular motion with the fingers of that hand slightly tucked in.To form the “tête,” or head, hold your hand perpendicular to the work surface, with your fingers straight and tightly together (like you’re going to do a karate chop). Working with one ball of dough at a time (keeping the others covered with plastic), press down onto the ball with the side of your hand about one-third of the way from one of the edges of the dough ball (leaving one-third of the dough to one side of your hand, and two-thirds of the dough to the other side of your hand). Saw back and forth with your hand almost all of the way through until you get a shape that looks like a bowling pin, or a head and body connected by a very thin, almost translucent neck. Holding the dough by the “head,” turn the dough upright so the body is resting on the work surface. Lower the head down into the body, pressing deeply into the body and spreading it with your thumbs and index fingers to make a nest for the head. Tighten the body around the nestled head by tucking and lifting the body up around the head. Gently place the dough in one of the prepared molds, body down. Repeat with the remaining dough. Transfer the molds to a large rimmed baking sheet.Cover the brioches very loosely with plastic. Let the dough rise until almost doubled in size and filling the molds, about 1 hour. It should spring back when gently poked with a finger.Meanwhile, position an oven rack in the center of the oven and heat the oven to 375°F. It is important that the oven be thoroughly heated so the brioches bake evenly.In a small bowl, make the egg wash by beating the remaining 2 eggs plus 1 egg yolk and a pinch of salt. Lightly brush the top of the brioches (without letting the egg wash drip down into the molds or pans, which would make the brioches stick to their molds). Bake until dark golden-brown on top and golden on the sides (you can lift the brioche slightly to peek in at the edge of the mold), about 18 minutes. (The internal temperature should be 190°F.) Let the brioches cool on a wire rack for 10 minutes before unmolding. Serve while they’re still warm to the touch.",brioche
5,https://www.kingarthurbaking.com/recipes/brioche-recipe,"In a stand mixer or bread machine (programmed for dough), mix together all of the ingredients to form a smooth, shiny dough. Don't worry; what starts out as a sticky mess becomes beautifully satiny as it kneads. This dough takes longer than most to develop, so be prepared to let the dough knead for up to 15 to 20 minutes in a stand mixer. Also, we don't recommend trying to knead it by hand. If you're using a bread machine, let it complete its kneading cycle, then continue as directed below., Form the dough into a ball (it'll be very soft), place it in a greased bowl, cover the bowl, and it let rise for 1 hour. Then refrigerate the dough for several hours, or overnight. This will slow the fermentation and chill the butter, making the dough easier to shape., Divide the chilled dough into 12 pieces to make mini-brioche (brioche buns); leave it whole for one large round brioche; or divide it in half for two 8 1/2"" x 4 1/2"" loaves., Place the dough into the greased pan(s) of your choice, cover lightly, and let rise for 2 1/2 to 3 hours, until it's doubled and looks very puffy. If you're making two loaves, it's fun to make simple three-strand braids, and set them in the loaf pans., To bake a large, round brioche: Place the pan into a preheated 400°F oven. After 10 minutes, reduce the oven heat to 350°F and bake for about 30 to 35 minutes more. Check the brioche after 15 minutes; tent with aluminum foil if it appears to be browning too quickly. Brioche should be a deep brown when done, should sound hollow when tapped, and will read 190°F at the center using an instant-read thermometer. (It's easy to underbake, since it browns so quickly!) Remove the brioche from the oven, and after 10 minutes remove it from the pan to cool completely on a rack., To bake the mini brioches: Place the pan(s) onto a baking sheet for easy handling, as shown; then nestle that baking sheet into another baking sheet, to protect the buns' bottoms from over-browning. Bake the buns in a preheated 375°F oven for 25 to 30 minutes (tent after 10 minutes if they're browning too quickly). Remove them from the oven, let stand for 5 minutes, then turn them out onto a rack., To bake the loaves: Allow the loaves to rise until they've nearly reached the rim of the pan, about 3 hours. Set the loaf pans on a baking sheet, for easy handling. Bake in a preheated 350°F oven for 30 to 35 minutes, tenting with foil after 15 to 20 minutes.",brioche
6,https://www.fifteenspatulas.com/homemade-brioche-oh-glorious-buttery-brioche/,"Start with the sponge. Place the milk, yeast, egg, and 1 cup of flour in the bowl of a stand mixer. Mix the ingredients with a spatula until combined (it will be very sticky).Sprinkle the remaining cup of flour on top, covering the sponge completely, and let it rest in a warm place for 30 minutes (no need to cover the bowl with plastic wrap).After 30 minutes, check that there are cracks in the flour (see blog photo). The cracks let you know that the yeast are alive and well.Add the sugar, salt, eggs, and 1 cup of the flour to the sponge. Fit the bowl on your stand mixer, and using the dough hook, mix on low for 1 minute, until the dough starts to come together. With the mixer still running on low, add the remaining 1/2 cup of flour.When the flour has been incorporated, increase the speed to medium, and mix for 15 minutes. After 10 minutes have passed, if the dough seems too loose, add 3 additional tablespoons of flour, to help the dough form into a cohesive piece. Make sure you don’t skimp on kneading the dough for 15 minutes.Turn the mixer down to medium low speed and add the butter, a couple pats at a time, waiting until each installment of butter is absorbed before adding the next. When all the butter has been added, bump the speed up to medium high for a minute, then reduce to medium and knead the dough for 5 minutes. The dough will be soft and slightly sticky.Cover the bowl tightly with plastic wrap, and let it rise at room temperature for 2 hours, until it has doubled in size.Using a spatula, gently turn the dough upside down and compact it back to its original volume (we are redistributing the yeast, but take care not to &quot;bash down&quot; the dough too much).Cover the bowl again with plastic wrap and let it rise in the refrigerator overnight, or for at least 8 hours.With a sharp knife, gently slice your dough into 3 sections. Cut each section into 6 pieces. You may gently roll those pieces into balls, but you can also leave them sort of square.Get three standard loaf pans***. If using nonstick bakeware, you can skip greasing, but if using uncoated bakeware, I recommend greasing with butter. Place 6 balls each into each pan, then cover with plastic wrap. Let rise for 2 hours.When you are ready to bake, preheat the oven to 375F, and bake the loaves for about 30 minutes, until the interior measures 200F using an instant read thermometer. If during the baking process your brioche browns too much, loosely cover the loaves with aluminum foil. Enjoy!",brioche
7,https://www.epicurious.com/recipes/food/views/brioche-dough-103412,"YieldMakes about 1 1/4 poundsIngredientsFor starter1 teaspoon sugar1/4 cup warm milk or water (105°F)1 (1/4-ounce) package active dry yeast (2 1/2 teaspoons)1/2 cup sifted all-purpose flour (sift before measuring)For dough1/4 teaspoon salt3 tablespoons sugar1 tablespoon hot milk or water3 large eggs1 1/2 cups sifted all-purpose flour (sift before measuring)1 1/2 sticks (3/4 cup) unsalted butter, cut into 1/2-inch slices and well softenedSpecial Equipmenta standing electric mixer with whisk and dough-hook attachmentsPreparationMake starter:                                        Stir together sugar and milk in a small bowl. Sprinkle yeast over mixture and let stand until foamy, about 10 minutes. Stir flour into yeast mixture, forming a soft dough, and cut a deep X across top.
                                                                            Let starter rise, covered with plastic wrap, at room temperature, 1 hour.
                                    Make dough:                                        Combine salt, sugar, and hot milk in a small bowl and stir until salt and sugar are dissolved.
                                                                            Fit mixer with whisk attachment, then beat 2 eggs at medium-low speed until fluffy. Add sugar mixture and beat until combined well. With motor running, add in order, beating after each addition: 1/2 cup flour, remaining egg, 1/2 cup flour, about one fourth of butter, and remaining 1/2 cup flour. Beat mixture 1 minute.
                                                                            Remove bowl from mixer and fit mixer with dough-hook attachment. Spread starter onto dough with a rubber spatula and return bowl to mixer. Beat dough at medium-high speed 6 minutes, or until dough is smooth and elastic. Add remaining butter and beat 1 minute, or until butter is incorporated.
                                                                            Lightly butter a large bowl and scrape dough into bowl with rubber spatula. Lightly dust dough with flour to prevent a crust from forming.
                                                                            Cover bowl with plastic wrap and let dough rise at room temperature until more than doubled in bulk, 2 to 3 hours.
                                                                            Punch down dough and lightly dust with flour.
                                                                            Cover bowl with plastic wrap and chill dough, punching down after first hour, at least 12 hours.
                                    Cooks' note:• Dough may be chilled up to 3 days. Punch down dough each day.Related Video",brioche
8,https://www.thekitchn.com/how-to-make-brioche-224507,"Let the butter soften: About an hour before you plan to bake, place the butter on the counter to soften. If you&#x27;re short on time, microwave the butter at half-power in 10-second bursts. The butter should be pliable and easily spreadable, but not melted.Prepare the brioche dough: Combine the yeast and water in the bowl of a stand mixer, and allow the yeast to dissolve for a few minutes. Add the sugar and the eggs, and stir until the eggs are broken up. Add the salt and 4 cups of the flour. Stir until you&#x27;ve formed a shaggy, floury dough.Knead the dough for about 2 minutes: With a dough hook on low speed, knead the dough for about 2 minutes, until all the flour has been absorbed and the dough comes together in a fairly smooth ball.Begin adding the butter: Increase the mixer speed to medium. Begin adding the butter one tablespoon at time. Wait until one lump is mostly mixed in before adding the next. Stop and scrape down the sides of the mixer as needed until all the butter is added.Beat the dough for 5 minutes: Once all the butter is added, continue to beat the dough for about 5 minutes, until all the butter is completely absorbed. When finished, the dough should look glossy and supple, and it should jiggle slightly when you shake the bowl, like firmly set custard.Cover and let rise for 1 to 1 1/2 hours, until doubled in bulk: The dough can rise in the bowl in which it was mixed. Cover loosely and place the bowl somewhere warm until roughly doubled in bulk.Refrigerate the dough overnight: This dough is much easier to work with once it has chilled, and the flavor improves with a cool overnight rest. Once it has doubled in bulk, cover the bowl with plastic wrap and place it in the fridge. Let the dough rest overnight, or for up to 2 days. It might rise a little more in the fridge; if it looks like it will spill out of the bowl, lift the edges to degas it slightly, but don&#x27;t punch it down.Prepare the loaves: Grease two loaf tins. Turn the dough out onto a lightly floured counter and pat into a rectangle; the dough will be quite stiff and easy to shape. Divide the rectangle into 12 equal pieces, then roll each piece into a ball. Tuck 6 balls of dough into each loaf tin, staggering them slightly so you create a braided look. (Alternatively, you can divide the dough in half and shape each half into a standard sandwich loaf.)Let the brioche rise 1 1/2 to 2 hours: Cover the brioche loosely and place somewhere warm. Let them rise until they&#x27;re doubled in bulk, look puffy and pillow-like, and are just starting to peek over the top of the pan — 1 1/2 to 2 hours. (If in doubt, it&#x27;s better to under-proof rather than over-proof these brioche loaves, so bake them as soon as you start wondering if they&#x27;re ready.)Preheat the oven to 350°F. Begin preheating the oven when the brioche has risen to just under the tops of the pans, about 30 minutes before you estimate they&#x27;re ready to bake. Place a rack in the middle position.Brush the brioche with glaze: Whisk together the yolk and water for the glaze. Brush it evenly over the tops of the brioche. Try not to leave any drips in the corners of the pan or under the loaves.Bake the brioche 30 to 40 minutes: When done, the loaves will look puffed, glossy, and golden-brown on top, and register 190°F internally. If the loaves puff up a lot in the oven, brush a second time with egg wash so the tops are evenly glossy.Cool the brioche: Cool the brioche for about 5 minutes in their tins, then gently ease them out and transfer them to a wire rack to finish cooling completely.",brioche
9,https://www.food.com/recipe/brioche-51546,"Put the milk, yeast, egg and 1 cup of the flour in the bowl of a heavy duty mixer.Mix the ingredients together with a rubber spatula, mixing just until everything is blended.Sprinkle over the remaining cup of flour to cover the sponge.Set the sponge aside to rest uncovered for 30-40 minutes.After this resting time, the flour coating will crack, your indication that everything is moving along properly.Add the sugar, salt, eggs, and 1 cup of the flour to the sponge.Set in the mixer, attach the dough hook, and mix on low speed for a minute or two, just until the ingredients look as if they are about to come together.Still mixing, sprinkle in 1/2 cup more flour.When the flour is incorporated, increase the mixer speed to medium and beat for about 15 minutes, stopping to scrape down the hook and bowl as needed.During this mixing period, the dough should come together, wrap itself around the hook and slap the sides of the bowl.In order to incorporate the butter into the dough, you must work the butter until it is the same consistency as the dough.You can bash the butter into submission with a rolling pin or give it kinder and gentler handling by using a dough scraper to smear it bit by bit across a smooth work surface.When it is ready, the butter will be smooth, soft, and still cool- not warm, oily or greasy.With the mixer on medium-low speed, add the butter a few tablespoons at a time.This is the point at which you'll think you've made a huge mistake, because the dough that you worked so hard to make smooth will fall apart- don't worry, don't panic- carry on.When all of the butter has been added, raise the mixer speed to medium-high for a minute, then reduce the speed to medium and beat the dough for about 5 minutes, or until you once again hear the dough slapping against the sides of the bowl.Clean the sides of the bowl frequently as you work; if it looks as though the dough is not coming together after 2-3 minutes, add up to 1 tablespoon more flour.When you're finished, the dough should feel somewhat cool.It will be soft and sill sticky and may cling slightly to the sides and bottom of the bowl.FIRST RISE: Transfer the dough to a very large buttered bowl, cover tightly with plastic wrap, and let it rise at room temperature until doubled in bulk, 2- 2 1/2 hours.SECOND RISE AND CHILL: Deflate the dough by placing your fingers under it, lifting a section of dough, and then letting it fall back into the bowl.Work your way around the circumference of the dough, lifting and releasing.Cover the bowl tightly with plastic wrap and refrigerate the dough overnight, or for at least 4-6 hours, during which time it will continue to rise and may double in size again.AFTER THIS LONG CHILL, THE DOUGH IS READY TO USE IN ANY BRIOCHE RECIPE.STORING: If you are not going to use or bake the dough after it's second rise, deflate it, wrap it airtight, and store it in the freezer.The dough can remain frozen for up to a month.Thaw the dough, still wrapped, in the refrigerator overnight and use it directly from the refrigerator.TO BAKE IN LOAVES: Divide the dough into thirds.Divide each section into 6 equal pieces, and shape each piece into a ball on a lightly floured work-surface.Place the balls side-by-side in a greased loaf pan so that you have 3 short rows, each with two balls of dough.Do the same with the other two pieces of brioche dough.Cover the pans with plastic and allow the dough to rise at room temperature for 2 hours, or until doubled in size.Preheat the oven to 375&deg;F.Lightly brush each loaf with egg wash, taking care not to let the glaze dribble into the pan (it will impair the dough's rise in the oven).Use the ends of a pair of very sharp scissors to snip a cross in each ball of dough.Bake the loaves for about 30 minutes, or until an instant read thermometer reads 200&deg;F.Cool to room temperature on a rack.NOTE: You could also use this dough to make the very finest sticky-buns you've ever eaten in your entire life, or you can press it out in a deep dish pizza pan, cover it with cream cheese mixed with powdered sugar, the put fruit slices or berries over it for a very upscale&quot;fruit pizza&quot;.",brioche
