,0,1,2
0,https://www.mangiabedda.com/orange-ciambella/,"Preheat oven to 350F and grease a tube pan with butter or cooking spray.In a large bowl, whisk eggs, sugar and vegetable oil until pale and frothy.Stir in orange zest and juice.Sift flour, baking powder and salt. Stir into the wet ingredients with a wooden spoon or spatula until just combined.Pour batter into the prepared tube pan. Bake for 35 minutes until a toothpick inserted in the center comes out clean.Transfer to a cooling rack. After 10 minutes, run a knife around the edges of the pan to loosen the cake. Unmold and let cool completely on the wire rack.Lightly dust with powdered sugar before serving.",ciambellone
1,https://www.shelovesbiscotti.com/traditional-italian-citrus-ring-cake/,"Preheat the oven to 350℉ (175°C) .Grease and flour (or use non-stick spray) a 10-inch bundt pan.In a medium bowl,sift together flour, baking powder and salt. Set aside.In a large mixing bowl (of stand mixer) beat the eggs on high speed for about 3 minutes (eggs will become thick).Gradually add the sugar and continue beating for another 2-3 minutes.Reduce speed and add oil, milk and juice.Add dry ingredients, vanillin (or vanilla extract) and zest and beat only until combined.Bake in a 350℉ (175°C) oven for approximately 35 minutes or until cake tester comes out dry.Cool completely on wire rack.Dust with icing sugar before serving.",ciambellone
2,https://honestcooking.com/ciambellone-ring-cake-old-days-italian-staple/,"
This delicious classic Italian ring cake is simple, fast and butter-free.
By Elisa Gennari

Basically every person I know used to have, as a child, what we call “ciambellone” (big doughnut). I don’t think in the 70s and 80s in Italy there were women who did not know how to bake this delicious cake (obviously every household had its own recipe..).
Unfortunately, for the last two decades many moms seem to have forgotten how to bake their children an healthy and home made snack and had replaced it with ready-made ones, rich in sugars and preservatives. Recently, though, there has been a change of direction and many mothers are becoming more aware of the importance of food habits in children, and have started again to bake their own cakes.

You don’t have to be and expert chef to cook this simple cake and it’s amazing to prepare it with the kids. It’s so easy they can make it on their own. It tastes like old days, it is the perfect comfort food. Can you find something more simple?
I remember when I was a little girl my mom used to bake this cake and many variations of it, quite twice a week to make me and my sister have a healthy snack in the afternoon. Nowadays I would also say that it’s not only healthy for your children but it also really cheap, you will need just 5 simple ingredients. You can also add your personal twist by adding raisins, chocolate chips, nuts or everything you like, I’ve made it a couple of times with matcha green tea, it was awesome. I recommend you try it with chocolate chips and pecan or with a mix of grounded spices such as ginger, cinnamon, cardamom, cloves…it will always be perfect.
To get the original shape you will need a ring-shaped pan, but if you don’t have it you can use a plumcake pan or a 23cm round pan.
Some tips to make some changes to this cake:
1. Richer taste: You can substitute milk with yogurt, or cream if you want to prepare a richer cake.
2. To make a marble cake: you use 250gr of all purpose flour, then divide the batter into two bowls and add 50 gr of cocoa powder into one. Then pour the dough into the pan alternately.
3. Apple variation: slice two apples and line them over the batter in the pan, dust with caster sugar and bake.
4. Whole grain variation: use whole grain flour – spelt, oat, wheat or a mix
5. Dairy free: use soy milk instead of regular milk
Now let’s bake our cake!
    5.0 from 5 reviews   Old days Italian staple: Italian Ring Cake      Print   Simple, fast, butter-free and tasty cake  Author: Elisa Gennari Serves: 12/16   Ingredients  3 eggs 300gr (2 and ½ cups) all purpose flour (or 270gr - 2cups whole wheat) 200gr sugar (1 and ½ cups) ½ glass of vegetable oil (1/2 cup) 1 glass of milk (1cup) 15gr baking powder, that should be 2 and a half teaspoons orange or lemon zest, grated 5gr of butter to grease the pan     Instructions  Preheat the oven at 180/200°C (350/390°F). Put all the ingredients in a bowl and mix it with a whisk, or put them into the food processor and turn it on. Mix until evenly combined. Grease your baking pan with butter and then add some flour and move the pan to even distribute the flour on the surface. Add the batter and cook for 40 minutes. You can check if it's ready by piercing the cake with a skewer. If it comes out clean, the cake is ready. IMPORTANT! do not open the oven in the first 25 minutes or the cake will collapse    3.5.3229 






Tags:
classic italian ring cake, Italian, ring cake 





 Previous Article
Miso Ginger Soup with Red Chard




Next Article
Chocolate and Pomegranate Cups
 


 ",ciambellone
3,https://www.savoringitaly.com/ciambella-romagnola-italian-breakfast/,"Butter and flour a tube pan (or spray generously with baking spray-my preferred method for its ease).Preheat oven to 350 Melt the butter and set aside.  In a medium sized bowl, whisk together the flour, baking powder, salt and lemon zest; set aside. In a medium sized mixing bowl, beat the egg whites until white and form soft peaksIn a large mixing bowl, add the sugar. Beat in the egg yolks one at a time.On medium speed, mix in about 1/2 cup of the flour mixture to the egg and sugar mixture; beat about one minute. Beat in another 1/2 cup of the flour mixture and slowly add in the melted butter; beat until combined (about 1 more minute). Stop the mixture to scrape the sides of the mixing bowl with a spatula when needed.On medium speed, mix in 1/2 of the milk and the vanilla followed by another 1/2 cup of the flour mixture until combined (about 1 minutscraping down the sides of the bowl as needed. Mix in the rest of the milk followed by the rest of the flour mixture.Stir in about 1/3 of the egg whites into the batter. Fold in the rest of the egg whites. Bring the batter from the bottom of the bowl over the egg whites and keep turning the bowl around until it is all folded together.Pour the batter into your prepared tube pan and even out the top of the batter with yoru spatula; tap pan carefully on your counter to level out the batter.Sprinkle on the pearl sugar (decorators sugaand bake 40-45 minutes, or until a toothpick inserted in middle comes out clean. Let cool and then remove the bottom of the pan and place on your serving plate.",ciambellone
4,https://www.epicurious.com/recipes/food/views/nonna-marys-ciambella-395729,"YieldServes 8Ingredients3 cups all-purpose flour3/4 cup sugar2 tablespoons whole milk2 eggs1 tablespoon baking powder1/4 teaspoon salt12 tablespoons (1 1/2 sticks) unsalted butterGrated zest of 1 lemon1 egg yolkPreparation                                        1. Preheat the oven to 375°F on the regular bake setting
                                                                            2. Put the flour, sugar, milk, and 2 eggs in the bowl of a food processor. Add the baking powder and salt, taking care not to put one on top of the other or the salt may inhibit the action of the baking powder. Cut the butter into at least a dozen pieces. Add the butter and lemon zest to the other ingredients and pulse until a dough forms.
                                                                            3. Transfer the dough to a counter and knead it gently until you obtain a smooth ball. Shape the dough into a loaf about 12 inches long and 3 inches wide. Place it on a baking sheet that has been buttered and floured or lined with a nonstick baking mat. Place the egg yolk in a small bowl. Add 2 teaspoons water, and whisk. Make 4 or 5 shallow diagonal cuts on top of the dough and brush the surface with the yolk mixture.
                                                                            4. Bake for 35 minutes. The ciambella is ready when it is golden brown and feels fairly firm when prodded.
                                    
From Hazan Family Favorites: Beloved Italian Recipes by Guiliano Hazan. Copyright © 2012 Giuliano Hazan; photographs copyright © 2012 Joseph De Leo. Published by Stewart, Tabori & Chang, an imprint of ABRAMS.
Related Video",ciambellone
5,https://giadzy.com/recipes/giadas-ciambella-cake/,"Preheat the oven to 350 degrees F. Position a rack one above the center position. Spray the inside of a 9 or 10 inch bundt pan with nonstick cooking spray and set aside.In a medium bowl, use a band mixer to beat together the eggs and sugar until light and fluffy and pale in color, about 3 minutes. Add the olive oil, milk, lemon zest, lemon juice and vanilla extract to the bowl and beat again on medium speed until smooth and combined. Add the flour, baking powder, salt and fennel seed to the liquid ingredients and beat on low speed until just combined. Pour the batter into the prepared pan and bake for approximately 50 minutes or until a toothpick inserted in the center comes out without and crumbs. Cool in the pan for 15 minutes. Carefully invert the cake onto a wire rack and cool completely. Dust with powdered sugar and serve.",ciambellone
6,https://www.thewednesdaychef.com/the_wednesday_chef/2015/01/how-to-make-ciambellone.html,"

Listen to this: My editor at Bazaar took me out to lunch before the holidays and congratulated me for eating the bread out of the bread basket that was placed on the table while we waited for our meal. (The chewy, delicious bread, I might add, though I would have eaten it even if it hadn't been good, because I am a human and it was lunchtime and I was hungry.)
She.
Congratulated.
Me.
She ate the bread, too, mind. It's just that she's the only person she knows - besides me now, I guess - who still actually eats bread. And pasta. And springs for two courses on a business lunch. Sigh.
You all know I like a good New Year's resolution as much as the next person. I'm all about fresh starts and good intentions, I really am. Why, just the other day I ordered a ginger-apple-carrot juice with breakfast myself! But when congratulations are offered on eating a piece of bread, for the love of Pete, I feel like this whole cleanse/no-carb/juice/detox mania has officially reached crazy-making levels. (Exhibit A: Elevating Adaptogenic Latte. What?) And while I'm at it: can we once and for all get rid of the term ""clean eating""? It makes my head hurt.
So, in light of all of this, I've decided to post a second recipe for cake in one week. I feel like it's my civic duty or something.
Without further ado: Ciambellone! (chahm-bell-ohn-eh) Also known as the only cake my mother knows how to make. (More or less.)
Ciambellone is a sunny, simple tube cake made with yogurt and lemon peel. It's tender and fragrant, has a good, sensible crumb, lasts for a few days on the kitchen counter, is not-too-sweet, easy to make, and very nice for breakfast (with a glass of green juice or without). It's also good at teatime and as a snack for little children. In other words, it's a perfect everyday cake.
(Other perfect everyday cakes: Catherine Newman's Donut Cake, Deborah Madison's Poppyseed Cake and Alice Medrich's Kamut Pound Cake, all of which I adore passionately and do not make nearly enough. I blame that thing I'm working on. On my to-make-soon list, though, is Molly's whole-wheat riff on an Edna Lewis cake, which looks right up my alley. Consider it my New Year's resolution!)
I suspect you will be relieved to know that ciambellone does not require confectioners' sugar on top or an icing of any kind or new-fangled additions to the batter. It is simplicity itself, wholesomeness incarnate. But most of all, it's just a happy-making little thing. Which makes it just right for gray, old January. Or any other month out of the year.
Three cheers for cake!
POSTSCRIPT: In the most thrilling news ever (to me, obvs), precisely 9 years, 5 months and 1 week after I started this blog, I can finally offer you a printable recipe! I apologize deeply for it having taken  so long. Now, when you get to the bottom of the recipe, you'll see a little Print this recipe link. Click on that and you'll get the recipe in PDF form. Which means that when you print, all you'll get is the recipe itself. No post, no pictures and no pesky comments. Hooray! This feature is - for now - only available on recipes starting from today.
CiambelloneMakes one 9-inch tube cakeNote: The original recipe calls for 1/2 packet of Pane degli Angeli, which is Italian vanilla-flavored baking powder. If you have access to that, use it - it's lovely - and leave out the vanilla extract and baking powder below. If you don't have access to Pane degli Angeli, follow the recipe below.
3/4 cup minus 1 tablespoon (150 grams) sugar2 large eggs3.5 ounces/7 tablespoons (100 grams) unsalted butter, melted1/2 cup (125 grams) plain whole-milk yogurt1 teaspoon vanilla extractGrated peel of 1/2 organic lemon1 2/3 cup (200 grams) all-purpose flour2 teaspoons baking powder
1. Heat the oven to 350 F/180 C. Butter a tube pan.
2. Place the sugar, eggs, melted butter, yogurt, vanilla extract, and grated lemon peel in a bowl. Beat with an electric mixer until smooth. Then slowly beat in the flour. Finally, beat in the baking powder. Scrape the batter immediately into the prepared cake pan, even the top and bake for 30 minutes, until a rich golden-brown.
3. Let the cake cool on a rack for 15 minutes, then turn the pan upside-down and unmold the cake. Let cool completely before serving. Loosely covered with plastic wrap, the cake will keep at room temperature for 3 days.
Print this recipe


",ciambellone
7,https://www.food.com/recipe/ciambella-della-nonna-ndash-italian-breakfast-cake-456955,Preheat the oven at 220&deg;C (425.&deg;F).Grease your mold (I use a ring-shaped one) and dust with four.Work all the ingredients (reserve the sugar for topping) with the kneading machine until smooth.Spread the batter in the mold.Top with sugar.Bake for 30 minutes at 220&deg;C (425&deg;F).,ciambellone
8,https://anitalianinmykitchen.com/italian-cake/,"Pre-heat oven to 320F (160C), grease and flour a medium-large cookie sheet (11 x 6 inch / 28 x 15 cm) approximate).In the bowl of a stand up mixer* with the dough hook attached, add flour, sugar, salt, egg, butter, milk, vanilla and zest, combine on medium speed for 2 minutes, then add the baking powder, combine again for approximately 3 minutes, you will have a soft sticky dough.Using a spatula place half the dough on the prepared cookie sheet, dip your fingers in the melted butter and form the dough into a 10 1/2 x 5 inch (27 x 13 cm) oval.&nbsp;With buttered fingers** make a shallow well down the middle of the dough, fill with your favourite jam or even hazelnut cream (Nutella), cover with the remain dough, again using your butter fingers to cover and seal the dough. Sprinkle with sugar and bake for approximately 30-40 minutes or until golden. Test with a toothpick. Let cool and serve. Enjoy!",ciambellone
9,https://flourishmentary.com/italian-ciambellone-recipe/,"Combine sugar and melted butter in a large bowlMix in two large eggsStir in whole milk yogurtAdd in vanilla extract and lemon peelSlowly fold in flour while mixing constantlyAdd in baking powder and mix until just combinedPour in to lightly greased baking panBake in preheated oven at 350 degrees fahrenheit for 25-30 minutes. Cake should be slightly golden, and inserted toothpick should come out cleanAllow to cool for 20 minutes before turning out onto a serving plateAllow to fully cool before serving",ciambellone
