,0,1,2
0,https://sallysbakingaddiction.com/homemade-croissants/,Preheat oven to 400°F (204°C).,400
1,https://www.kingarthurbaking.com/recipes/bakers-croissants-recipe,"Towards the end of the rise time, preheat the oven to 425°F.",425
2,https://www.epicurious.com/recipes/food/views/butter-croissants-103989,Bake croissants:                                        Adjust oven racks to upper and lower thirds of oven and preheat to 425°F.,425
3,https://www.finecooking.com/recipe/classic-croissants,"Bake the croissants

Shortly before the croissants are fully proofed, position racks in the top and lower thirds of the oven and heat it to 400°F convection, or 425°F conventional.",400
4,https://www.jocooks.com/recipes/homemade-croissants/,"Brush with a lightly beaten egg, and bake on a parchment paper lined sheet for 8-12 minutes at 400F, then turn the oven down to 375 and bake for another 8-12 minutes.",400
5,https://www.noellecarterfood.com/blog/2019/9/20/better-baking-temperature-croissants-recipe,"Bake for 7 minutes then reduce oven temperature to 375 F and bake until croissants are deep golden brown, about 10 to 15 minutes.",375
6,https://www.foodandwine.com/recipes/croissants,"Step 9    Make the dough

Preheat the oven to 400°.",400
7,https://www.tastingtable.com/cook/recipes/croissants-recipe-french-pastry,Preheat the oven to 350º.,350
8,https://www.alsothecrumbsplease.com/best-homemade-croissant-recipe/,Remove croissants from the oven and preheat to 375°F (190°C).,375
9,https://www.foodiewithfamily.com/how-to-make-croissants/,Preheat the oven to 425F.,425
10,https://www.lemaraisbakery.com/shop/one-dozen-frozen-ready-to-bake-french-croissants-4a6t8,Preheat oven to 375°F.,375
11,https://www.williams-sonoma.com/products/croissant/,Preheat an oven to 375°F.,375
12,https://myloveofbaking.com/sourdough-croissants/,"Our body temperature is enough to make the butter go soft
            

            Arrange croissants on a tray leaving ample space around them
            

            Let these proof until risen and ready to bake (Usually takes about 8-10 hours or more depending on your starter activity and your room temperature
            

            Preheat the oven to 420 F, use a thermometer to read the internal oven temperature (if your oven is a convection, you may want to heat it up only to 400 F)
            

            Once proofed, egg wash and bake the croissants for 20 minutes and reduce heat to 380F (400 F) and bake for a further 10-20 minutes ( keep an eye though) Often an extra 10 minutes is enough
            

            Once done cool on the tray and serve fresh
            



Check this video to get an idea of the dough firmness
This is a short video of how to roll the dough using swift, gentle yet effective motions
Check the troubleshooting guide below to fix any issues you have

 
      
6.",420
13,https://www.baking-sense.com/2018/12/14/sourdough-croissants/,Preheat the oven to 400°F.,400
14,https://www.hungryonion.org/t/please-help-me-bake-the-perfect-croissant/5549,"My usual practice is to put the dough on a aluminum catering tray (yeah I know, not even a baking pan at home), heat the oven to 425F and bake until outer later is golden brown.",425
